git_commit: 5b6328f507d01360d9e76cf60751d781b4645243
git_dirty: no
utc_timestamp: 2026-09-04T12:38:14Z
iterations_per_trial: 10000000
rounds: 10
queue_capacity: 1024
shuffle_seed: 2711724449
qos_class: user_interactive
round,arm,seconds,completed_handoffs_per_second,full_rejections
0,queue_acquire_release,0.31006795799999998,32250994.473927554,427082
0,atomic_relaxed,0.37269095800000002,26831882.516452141,0
0,atomic_acquire_release,0.38776945899999998,25788518.842583735,0
0,atomic_seq_cst,0.38140066700000003,26219146.596301049,0
0,queue_seq_cst,0.370998834,26954262.610970903,0
1,queue_acquire_release,0.30170316699999999,33145160.852752998,26360
1,atomic_relaxed,0.36833274999999999,27149364.263699062,0
1,atomic_seq_cst,0.38256770800000001,26139163.841815945,0
1,queue_seq_cst,0.37305829099999999,26805462.420348674,2905791
1,atomic_acquire_release,0.39792270800000001,25130508.510713089,0
2,atomic_relaxed,0.42879262499999998,23321296.629110634,0
2,queue_acquire_release,0.30966687500000001,32292766.218537256,3393606
2,atomic_seq_cst,0.39756058399999999,25153399.009998437,0
2,atomic_acquire_release,0.38503349999999997,25971766.093080215,0
2,queue_seq_cst,0.3962755,25234969.10608907,682985
3,queue_seq_cst,0.417596625,23946553.686826371,2794418
3,atomic_relaxed,0.37713979199999997,26515367.012770694,0
3,atomic_seq_cst,0.39492624999999998,25321183.385505524,0
3,queue_acquire_release,0.30082920899999999,33241452.960108008,145857
3,atomic_acquire_release,0.38174045899999998,26195808.60303833,0
4,atomic_relaxed,0.36561858400000002,27350907.305083811,0
4,queue_seq_cst,0.37112441600000001,26945141.760761976,0
4,queue_acquire_release,0.30305329199999997,32997496.691110026,3788
4,atomic_acquire_release,0.382405834,26150228.659952924,0
4,atomic_seq_cst,0.38362962499999997,26066808.578717038,0
5,queue_acquire_release,0.30395737499999997,32899349.785475679,9172
5,atomic_acquire_release,0.38145308300000003,26215543.786809556,0
5,atomic_relaxed,0.36844320899999999,27141224.904487249,0
5,atomic_seq_cst,0.38332370900000001,26087611.502266873,0
5,queue_seq_cst,0.37086008399999998,26964347.01772866,0
6,atomic_seq_cst,0.38285625000000001,26119463.898003493,0
6,queue_seq_cst,0.43000416699999999,23255588.590610102,405107
6,atomic_acquire_release,0.387048,25836588.743515015,0
6,queue_acquire_release,0.29747158400000001,33616656.30556497,449644
6,atomic_relaxed,0.36879491599999997,27115341.253782362,0
7,atomic_acquire_release,0.38482408400000001,25985899.572751272,0
7,queue_seq_cst,0.37065233400000003,26979460.488167327,449717
7,atomic_relaxed,0.37076674999999998,26971134.81724022,0
7,queue_acquire_release,0.296641292,33710748.535979271,278210
7,atomic_seq_cst,0.38255383399999998,26140111.825411741,0
8,atomic_relaxed,0.36902108300000003,27098722.703602273,0
8,atomic_seq_cst,0.38927566699999999,25688736.408998307,0
8,atomic_acquire_release,0.38478875000000001,25988285.780184582,0
8,queue_seq_cst,0.370888208,26962302.34421473,0
8,queue_acquire_release,0.312095917,32041431.673071198,161590
9,queue_seq_cst,0.44194079200000003,22627465.445642773,2655758
9,atomic_acquire_release,0.381817042,26190554.375516847,0
9,atomic_relaxed,0.369359667,27073881.89192839,0
9,atomic_seq_cst,0.38293549999999998,26114058.372754682,0
9,queue_acquire_release,0.298028458,33553842.700484663,356822
