git_commit: 93b1fa3cc526f214a4d9d5ab596b1169dfa2bc24
git_dirty: no
utc_timestamp: 2026-09-04T12:49:39Z
iterations_per_trial: 10000000
rounds: 20
experiment: a2
queue_capacity: 1024
sizeof_queue_separation_64: 82048
sizeof_queue_separation_128: 82176
sizeof_queue_separation_256: 82432
shuffle_seed: 2711724449
qos_class: user_interactive
round,arm,seconds,completed_handoffs_per_second,full_rejections
0,queue_separation_256,0.30405749999999998,32888516.152372498,1509883
0,queue_separation_64,0.34120141700000001,29308201.847239103,2248381
0,queue_separation_128,0.30842249999999999,32423056.035146594,188805
1,queue_separation_128,0.31245066700000002,32005052.496815439,118105
1,queue_separation_256,0.29121291599999999,34339136.249025442,171168
1,queue_separation_64,0.27964462499999998,35759671.761972897,13471
2,queue_separation_128,0.31060749999999998,32194972.755004309,37010
2,queue_separation_256,0.29083787500000002,34383417.221708141,4511197
2,queue_separation_64,0.33455774999999999,29890205.801539496,504659
3,queue_separation_256,0.37347220800000003,26775754.087704431,112126
3,queue_separation_64,0.280007917,35713275.921409041,133493
3,queue_separation_128,0.31086504100000001,32168300.326828964,31256
4,queue_separation_64,0.262114291,38151296.374755852,1460422
4,queue_separation_256,0.29731416599999999,33634455.211259596,21012282
4,queue_separation_128,0.30282350000000002,33022536.229850058,406864
5,queue_separation_64,0.27389045899999998,36510946.881870031,622950
5,queue_separation_128,0.30354354099999997,32944202.887848638,258800
5,queue_separation_256,0.2965835,33717317.382794388,19941019
6,queue_separation_128,0.29824833299999998,33529106.095624015,501172
6,queue_separation_64,0.25709829200000001,38895629.847280353,1903265
6,queue_separation_256,0.29886629100000001,33459778.841368228,24080236
7,queue_separation_128,0.29331683400000003,34092826.734929234,1214722
7,queue_separation_256,0.297486625,33614956.638806872,17833650
7,queue_separation_64,0.24231941600000001,41267844.587410197,2260491
8,queue_separation_256,0.30008837500000002,33323516.780681688,21665962
8,queue_separation_64,0.251699917,39729850.20888982,1807685
8,queue_separation_128,0.29864020800000002,33485109.279055953,434519
9,queue_separation_64,0.32278154100000001,30980705.925807573,3428453
9,queue_separation_256,0.30043304199999998,33285286.90928743,24478347
9,queue_separation_128,0.29876766700000001,33470824.003187735,585551
10,queue_separation_256,0.29337579200000002,34085975.300920531,15451725
10,queue_separation_128,0.30954633399999998,32305341.40326792,10662
10,queue_separation_64,0.34911033400000002,28644239.445515811,713345
11,queue_separation_64,0.32001320799999999,31248710.209486105,0
11,queue_separation_128,0.30604941699999999,32674461.850061294,188697
11,queue_separation_256,0.291143333,34347343.27232559,11749424
12,queue_separation_256,0.27879654100000001,35868450.749537811,17492306
12,queue_separation_64,0.26397512499999998,37882357.286505692,1390190
12,queue_separation_128,0.30265674999999997,33040730.134054504,306473
13,queue_separation_256,0.29486849999999998,33913422.42389404,13315581
13,queue_separation_128,0.30449179199999998,32841607.763272647,237490
13,queue_separation_64,0.25972366699999999,38502459.616050318,1347857
14,queue_separation_128,0.30454554099999998,32835811.574072599,294612
14,queue_separation_256,0.294990209,33899430.201088473,18375482
14,queue_separation_64,0.25959495799999999,38521549.405439533,997485
15,queue_separation_64,0.26456800000000003,37797466.057875477,776892
15,queue_separation_256,0.29541499999999998,33850684.630096644,13546412
15,queue_separation_128,0.34230424999999998,29213776.92506009,533717
16,queue_separation_256,0.29033370800000002,34443124.323683418,13144470
16,queue_separation_64,0.27752770900000001,36032438.115936019,339108
16,queue_separation_128,0.298646417,33484413.107825767,314502
17,queue_separation_256,0.36670408300000001,27269944.523633786,452334
17,queue_separation_64,0.26487891699999999,37753099.08866775,874539
17,queue_separation_128,0.30702000000000002,32571168.002084553,203377
18,queue_separation_128,0.30601899999999999,32677709.553981945,273959
18,queue_separation_256,0.30246600000000001,33061567.250533942,22975293
18,queue_separation_64,0.25459454199999998,39278139.748966031,1357941
19,queue_separation_64,0.35089291700000003,28498722.873907425,6045399
19,queue_separation_128,0.30787458299999998,32480758.56914762,253880
19,queue_separation_256,0.29742654200000002,33621747.180855162,18326755
