git_commit: e434e43d8479cfbe558c4fba136cddb823ebb64d
git_dirty: no
utc_timestamp: 2026-09-04T13:07:56Z
iterations_per_trial: 40000000
rounds: 20
experiment: a2b
queue_capacity: 1024
sizeof_queue_separation_64: 82048
sizeof_queue_separation_128: 82176
sizeof_queue_separation_256: 82432
shuffle_seed: 2711724449
qos_class: user_interactive
round,arm,seconds,completed_operations_per_second,full_rejections
0,false_sharing_256,0.0060338750000000002,6629239087.6509705,0
0,shared_line_16,0.022094165999999998,1810432672.588773,0
0,false_sharing_64,0.0061124170000000002,6544056140.1488152,0
0,false_sharing_128,0.0060805,6578406381.0541897,0
1,false_sharing_64,0.0061025419999999999,6554645588.6743593,0
1,false_sharing_256,0.0061257919999999997,6529767905.9295521,0
1,shared_line_16,0.021850374999999998,1830632197.3879168,0
1,false_sharing_128,0.0062146670000000001,6436386696.1817904,0
2,false_sharing_64,0.0060929160000000003,6565001060.2476711,0
2,shared_line_16,0.021543832999999998,1856679821.0884759,0
2,false_sharing_128,0.0061511250000000003,6502875490.255847,0
2,false_sharing_256,0.006103458,6553661874.9567871,0
3,shared_line_16,0.021528458,1858005807.9403551,0
3,false_sharing_64,0.0061604169999999996,6493066946.6044264,0
3,false_sharing_128,0.0061043750000000004,6552677383.0244694,0
3,false_sharing_256,0.0060949580000000001,6562801581.2414131,0
4,false_sharing_256,0.0061007500000000003,6556570913.4122849,0
4,false_sharing_128,0.0061241250000000002,6531545322.8012161,0
4,false_sharing_64,0.0060685410000000002,6591370149.7608728,0
4,shared_line_16,0.021314625,1876645730.3377376,0
5,shared_line_16,0.0215395,1857053320.6434691,0
5,false_sharing_128,0.0060752499999999999,6584091189.6629772,0
5,false_sharing_256,0.0060261250000000002,6637764732.7262545,0
5,false_sharing_64,0.0060320410000000001,6631254661.5648003,0
6,false_sharing_128,0.0060348750000000003,6628140599.4324656,0
6,false_sharing_256,0.0061479589999999997,6506224260.7668657,0
6,false_sharing_64,0.0060881249999999998,6570167333.9492865,0
6,shared_line_16,0.021689750000000001,1844189075.4849641,0
7,false_sharing_128,0.0060687500000000004,6591143151.3903189,0
7,false_sharing_64,0.0060404170000000002,6622059371.0665998,0
7,shared_line_16,0.021653958000000001,1847237350.3264391,0
7,false_sharing_256,0.0060379580000000004,6624756250.374712,0
8,shared_line_16,0.021542041000000001,1856834271.1816394,0
8,false_sharing_256,0.0060724999999999998,6587072869.493619,0
8,false_sharing_128,0.0061427089999999997,6511784946.9997683,0
8,false_sharing_64,0.0061295000000000004,6525817766.5388689,0
9,false_sharing_64,0.006040541,6621923433.6792021,0
9,false_sharing_256,0.0060529579999999998,6608339261.5643463,0
9,shared_line_16,0.021289665999999999,1878845821.254312,0
9,false_sharing_128,0.0060308330000000002,6632582928.4279633,0
10,false_sharing_256,0.0060668329999999998,6593225823.0941916,0
10,false_sharing_128,0.0060409169999999998,6621511270.5571032,0
10,false_sharing_64,0.0062443749999999999,6405765188.6698027,0
10,shared_line_16,0.021610291,1850969984.624455,0
11,shared_line_16,0.021525499999999999,1858261132.1455948,0
11,false_sharing_256,0.006076583,6582646859.262846,0
11,false_sharing_64,0.0060632919999999996,6597076307.7219439,0
11,false_sharing_128,0.0061174999999999997,6538618716.7960768,0
12,false_sharing_256,0.0061861670000000002,6466039471.6146526,0
12,false_sharing_128,0.0060363750000000001,6626493549.5226851,0
12,false_sharing_64,0.0060673749999999999,6592636848.7195864,0
12,shared_line_16,0.021650459,1847535888.2691586,0
13,false_sharing_64,0.0060534999999999999,6607747584.0422897,0
13,shared_line_16,0.021736083,1840257971.0428967,0
13,false_sharing_128,0.0061271670000000002,6528302558.0990362,0
13,false_sharing_256,0.0060675,6592501030.0782862,0
14,false_sharing_128,0.0060299170000000001,6633590478.9402571,0
14,shared_line_16,0.022322083,1791947462.9675019,0
14,false_sharing_256,0.0060869160000000004,6571472318.6585779,0
14,false_sharing_64,0.0060849160000000001,6573632240.7737427,0
15,false_sharing_64,0.006028917,6634690774.4790649,0
15,false_sharing_256,0.0060858750000000001,6572596380.964118,0
15,false_sharing_128,0.0061326250000000001,6522492407.4111824,0
15,shared_line_16,0.021581834000000001,1853410604.4926486,0
16,false_sharing_128,0.0060516249999999997,6609794889.8023262,0
16,shared_line_16,0.021526582999999998,1858167643.2344141,0
16,false_sharing_64,0.006029291,6634279221.2218647,0
16,false_sharing_256,0.0061310829999999998,6524132848.9599638,0
17,shared_line_16,0.021647125,1847820438.0489326,0
17,false_sharing_64,0.0060297500000000004,6633774202.9105682,0
17,false_sharing_128,0.0061483750000000002,6505784048.6307354,0
17,false_sharing_256,0.0060616250000000002,6598890561.5243435,0
18,false_sharing_128,0.0060474580000000003,6614349367.9493103,0
18,false_sharing_256,0.0060526670000000003,6608656977.1639509,0
18,shared_line_16,0.022262958999999999,1796706358.7549167,0
18,false_sharing_64,0.0060386670000000002,6623978437.6253901,0
19,false_sharing_256,0.006058875,6601885663.5926638,0
19,false_sharing_128,0.0060317499999999998,6631574584.4904051,0
19,false_sharing_64,0.0060567090000000004,6604246629.6465616,0
19,shared_line_16,0.022219375,1800230654.5526147,0
