git_commit: d360b5de09d1544469672502812617d0a8864bfc
git_dirty: no
utc_timestamp: 2026-09-04T13:42:24Z
iterations_per_trial: 10000000
rounds: 20
experiment: a4
queue_capacity: 1024
sizeof_queue_separation_64: 82048
sizeof_queue_separation_128: 82176
sizeof_queue_separation_256: 82432
sizeof_slot_stride_80: 80
sizeof_slot_stride_128: 128
sizeof_slot_stride_256: 256
sizeof_queue_cached_index: 82176
sizeof_queue_uncached_index: 82176
shuffle_seed: 2711724449
qos_class: user_interactive
round,arm,seconds,completed_operations_per_second,full_rejections
0,queue_uncached_index,0.36095745899999998,27704095.733896445,5655528
0,queue_cached_index,0.32166725000000002,31088026.52430423,194798
1,queue_uncached_index,0.26873054200000002,37211996.543362752,10360366
1,queue_cached_index,0.31501516699999998,31744503.273393184,294312
2,queue_cached_index,0.30854845800000003,32409820.048428178,1772374
2,queue_uncached_index,0.34537145899999999,28954332.326574791,2125700
3,queue_cached_index,0.27232262499999998,36721150.143143639,5046397
3,queue_uncached_index,0.26302737500000001,38018856.402304135,12954045
4,queue_uncached_index,0.26509708300000001,37722029.555489302,11879441
4,queue_cached_index,0.31999320799999997,31250663.295328446,758385
5,queue_uncached_index,0.27080058400000001,36927542.224207312,9802071
5,queue_cached_index,0.32133795799999998,31119884.069220357,382439
6,queue_uncached_index,0.26062374999999999,38369488.582679056,11006945
6,queue_cached_index,0.31746666600000001,31499370.078747101,589323
7,queue_cached_index,0.31358154199999999,31889632.075347088,500938
7,queue_uncached_index,0.27829204200000002,35933474.51882939,9426723
8,queue_uncached_index,0.33940158300000001,29463622.154054597,5898830
8,queue_cached_index,0.34165995900000001,29268867.295040563,1401232
9,queue_cached_index,0.31653720899999999,31591862.554142885,961654
9,queue_uncached_index,0.26142349999999998,38252108.169311486,10305592
10,queue_uncached_index,0.30077425000000002,33247527.007381778,4036417
10,queue_cached_index,0.31374233299999998,31873288.836670954,1178488
11,queue_uncached_index,0.35471825000000001,28191388.517506499,2431332
11,queue_cached_index,0.25613841700000001,39041390.655584477,13206194
12,queue_uncached_index,0.25363512500000002,39426715.838352434,10823697
12,queue_cached_index,0.33522133300000001,29831037.036058798,1286104
13,queue_cached_index,0.316866125,31559069.307266593,933610
13,queue_uncached_index,0.25924825000000001,38573066.54914739,10310078
14,queue_uncached_index,0.26199679199999998,38168406.275753178,4531226
14,queue_cached_index,0.31545891599999998,31699848.990795366,667858
15,queue_uncached_index,0.263007875,38021675.20649334,9690596
15,queue_cached_index,0.32981791700000002,30319759.735793855,2600365
16,queue_cached_index,0.35094533300000003,28494466.401694532,624837
16,queue_uncached_index,0.290917166,34374045.840938792,8299513
17,queue_cached_index,0.31341854200000002,31906216.958918784,4387535
17,queue_uncached_index,0.256957667,38916916.224959344,10949049
18,queue_uncached_index,0.26615604100000001,37571944.497025333,10685229
18,queue_cached_index,0.31470470900000003,31775819.407900881,8380111
19,queue_cached_index,0.35970629100000001,27800459.013934787,5082502
19,queue_uncached_index,0.32187658400000002,31067808.275236323,7167152
