git_commit: d360b5de09d1544469672502812617d0a8864bfc
git_dirty: no
utc_timestamp: 2026-09-04T13:48:37Z
iterations_per_trial: 65000
rounds: 20
experiment: a4b
queue_capacity: 1024
sizeof_queue_separation_64: 82048
sizeof_queue_separation_128: 82176
sizeof_queue_separation_256: 82432
sizeof_slot_stride_80: 80
sizeof_slot_stride_128: 128
sizeof_slot_stride_256: 256
sizeof_queue_cached_index: 82176
sizeof_queue_uncached_index: 82176
a4b_capacity: 65536
a4b_iterations: 65000
sizeof_a4b_queue: 5243136
shuffle_seed: 2711724449
qos_class: user_interactive
round,arm,seconds,completed_operations_per_second,full_rejections
0,producer_bound_uncached,0.0059197920000000001,10980115.517572239,0
0,producer_bound_cached,0.0023012919999999999,28245003.241657294,0
1,producer_bound_uncached,0.0041768339999999999,15562026.166230211,0
1,producer_bound_cached,0.0026282499999999999,24731285.075620662,0
2,producer_bound_cached,0.0037261659999999999,17444204.042439334,0
2,producer_bound_uncached,0.0028037079999999998,23183584.025155261,0
3,producer_bound_cached,0.001644209,39532687.146220461,0
3,producer_bound_uncached,0.0032001249999999998,20311706.573961955,0
4,producer_bound_uncached,0.0036797499999999999,17664243.494802635,0
4,producer_bound_cached,0.0014835,43815301.65149983,0
5,producer_bound_uncached,0.0032916669999999999,19746833.443358641,0
5,producer_bound_cached,0.0023405420000000001,27771345.269599944,0
6,producer_bound_uncached,0.0033051249999999999,19666427.139669452,0
6,producer_bound_cached,0.0018572910000000001,34997208.299614869,0
7,producer_bound_cached,0.00077970899999999996,83364434.680117846,0
7,producer_bound_uncached,0.002466167,26356690.362007115,0
8,producer_bound_uncached,0.0029337500000000002,22155943.757988922,0
8,producer_bound_cached,0.0017129160000000001,37946986.308727339,0
9,producer_bound_cached,0.0024166669999999999,26896548.01426924,0
9,producer_bound_uncached,0.0023760000000000001,27356902.356902357,0
10,producer_bound_uncached,0.0024810000000000001,26199113.26078194,0
10,producer_bound_cached,0.00240675,27007375.090890203,0
11,producer_bound_uncached,0.0031722909999999998,20489923.528453097,0
11,producer_bound_cached,0.001827916,35559620.901616924,0
12,producer_bound_uncached,0.002352041,27635572.679217752,0
12,producer_bound_cached,0.001773417,36652406.061292976,0
13,producer_bound_cached,0.0014816250000000001,43870750.021091707,0
13,producer_bound_uncached,0.0020118750000000002,32308170.23920472,0
14,producer_bound_uncached,0.0017684160000000001,36756057.39825923,0
14,producer_bound_cached,0.0021354170000000001,30439019.638787176,0
15,producer_bound_uncached,0.002385458,27248436.149368379,0
15,producer_bound_cached,0.0018754589999999999,34658182.34362895,0
16,producer_bound_cached,0.001504708,43197749.995347932,0
16,producer_bound_uncached,0.0022521669999999998,28861092.450071424,0
17,producer_bound_cached,0.001524875,42626444.790556602,0
17,producer_bound_uncached,0.002506458,25933009.848958172,0
18,producer_bound_uncached,0.0026581669999999999,24452940.691837646,0
18,producer_bound_cached,0.0019932499999999998,32610058.94895272,0
19,producer_bound_cached,0.0014612920000000001,44481185.14301043,0
19,producer_bound_uncached,0.0021163330000000002,30713503.026225075,0
