git_commit: 2cff9ee394a9c3e182a76b1f3f20c7a5b55f5e4d
git_dirty: no
utc_timestamp: 2026-09-04T13:51:35Z
iterations_per_trial: 1000000
rounds: 20
experiment: a4b
queue_capacity: 1024
sizeof_queue_separation_64: 82048
sizeof_queue_separation_128: 82176
sizeof_queue_separation_256: 82432
sizeof_slot_stride_80: 80
sizeof_slot_stride_128: 128
sizeof_slot_stride_256: 256
sizeof_queue_cached_index: 82176
sizeof_queue_uncached_index: 82176
a4b_capacity: 1048576
a4b_iterations: 1000000
sizeof_a4b_queue: 83886336
shuffle_seed: 2711724449
qos_class: user_interactive
round,arm,seconds,completed_operations_per_second,full_rejections
0,producer_bound_uncached,0.038938082999999998,25681798.459364321,0
0,producer_bound_cached,0.026832374999999999,37268411.760047331,0
1,producer_bound_uncached,0.032885958,30408115.220484074,0
1,producer_bound_cached,0.025724500000000001,38873447.4916908,0
2,producer_bound_cached,0.029238584000000001,34201382.666137315,0
2,producer_bound_uncached,0.033535750000000003,29818924.580485001,0
3,producer_bound_cached,0.028862249999999999,34647333.454599001,0
3,producer_bound_uncached,0.039420667,25367404.361778051,0
4,producer_bound_uncached,0.032735958000000002,30547448.77177567,0
4,producer_bound_cached,0.022603249999999998,44241425.458728284,0
5,producer_bound_uncached,0.031604124999999997,31641439.21086251,0
5,producer_bound_cached,0.025209667000000002,39667322.856743805,0
6,producer_bound_uncached,0.031173083000000001,32078957.349197704,0
6,producer_bound_cached,0.026733834000000001,37405783.248298764,0
7,producer_bound_cached,0.028969584,34518963.061395705,0
7,producer_bound_uncached,0.039364957999999999,25403304.12647716,0
8,producer_bound_uncached,0.033856207999999999,29536680.54024243,0
8,producer_bound_cached,0.025866375,38660229.738415219,0
9,producer_bound_cached,0.026551499999999999,37662655.593845926,0
9,producer_bound_uncached,0.038509166999999997,25967842.92945106,0
10,producer_bound_uncached,0.040722124999999998,24556675.27173496,0
10,producer_bound_cached,0.031274999999999997,31974420.4636291,0
11,producer_bound_uncached,0.041901582999999999,23865446.801854718,0
11,producer_bound_cached,0.028523916999999999,35058298.620066807,0
12,producer_bound_uncached,0.043703499999999999,22881462.583088312,0
12,producer_bound_cached,0.026208499999999999,38155560.219012916,0
13,producer_bound_cached,0.027359167,36550820.425197884,0
13,producer_bound_uncached,0.034109208000000002,29317596.585649244,0
14,producer_bound_uncached,0.033302790999999998,30027513.309620209,0
14,producer_bound_cached,0.028046958,35654490.586822286,0
15,producer_bound_uncached,0.037885624999999999,26395235.659963377,0
15,producer_bound_cached,0.025763666000000001,38814351.963730626,0
16,producer_bound_cached,0.028017040999999999,35692562.96551802,0
16,producer_bound_uncached,0.036017792,27764056.164242383,0
17,producer_bound_cached,0.029932667,33408316.071534824,0
17,producer_bound_uncached,0.037345791000000003,26776779.209201913,0
18,producer_bound_uncached,0.039002624999999999,25639299.918915715,0
18,producer_bound_cached,0.029604208,33778981.690710999,0
19,producer_bound_cached,0.029201000000000001,34245402.554707028,0
19,producer_bound_uncached,0.039135292000000002,25552383.76655015,0
