git_commit: 527146da4ab810a023a06cd32499fcb09b0e60ca
git_dirty: no
utc_timestamp: 2026-09-07T15:14:48Z
iterations_per_trial: 1000000
rounds: 20
experiment: a4b
queue_capacity: 1024
sizeof_queue_separation_64: 82048
sizeof_queue_separation_128: 82176
sizeof_queue_separation_256: 82432
sizeof_slot_stride_80: 80
sizeof_slot_stride_128: 128
sizeof_slot_stride_256: 256
sizeof_queue_cached_index: 82176
sizeof_queue_uncached_index: 82176
a4b_capacity: 1048576
a4b_iterations: 1000000
sizeof_a4b_queue: 83886336
shuffle_seed: 2711724449
qos_class: user_interactive
round,arm,seconds,completed_operations_per_second,full_rejections
0,producer_bound_uncached,0.038963333000000003,25665155.493756142,0
0,producer_bound_cached,0.030237957999999999,33071016.237273697,0
1,producer_bound_uncached,0.039887291999999998,25070641.546686098,0
1,producer_bound_cached,0.027957292000000002,35768843.420171022,0
2,producer_bound_cached,0.026782667,37337581.055687994,0
2,producer_bound_uncached,0.032774917000000001,30511137.526297931,0
3,producer_bound_cached,0.026918167,37149632.068186514,0
3,producer_bound_uncached,0.039902667000000003,25060981.512839731,0
4,producer_bound_uncached,0.031439959000000003,31806657.254228603,0
4,producer_bound_cached,0.024625749999999998,40607900.26699695,0
5,producer_bound_uncached,0.033364291999999997,29972163.053842116,0
5,producer_bound_cached,0.027141624999999999,36843777.776754342,0
6,producer_bound_uncached,0.031756167000000002,31489946.503934179,0
6,producer_bound_cached,0.025722792000000001,38876028.69859539,0
7,producer_bound_cached,0.025277583999999999,39560742.830485702,0
7,producer_bound_uncached,0.034210417,29230862.634617988,0
8,producer_bound_uncached,0.036935083,27074529.655179061,0
8,producer_bound_cached,0.026924834000000002,37140433.252067588,0
9,producer_bound_cached,0.040025708,24983942.819949619,0
9,producer_bound_uncached,0.038015874999999998,26304800.297244243,0
10,producer_bound_uncached,0.038226000000000003,26160205.096007951,0
10,producer_bound_cached,0.027811459,35956401.999621809,0
11,producer_bound_uncached,0.037520958,26651771.524597,0
11,producer_bound_cached,0.027628083000000001,36195055.588909298,0
12,producer_bound_uncached,0.037700583000000003,26524788.754592996,0
12,producer_bound_cached,0.026219583000000001,38139431.889515556,0
13,producer_bound_cached,0.028438167,35164010.394903444,0
13,producer_bound_uncached,0.036369084000000003,27495880.842091043,0
14,producer_bound_uncached,0.038161959000000002,26204105.507267065,0
14,producer_bound_cached,0.027912042000000001,35826830.584448099,0
15,producer_bound_uncached,0.037935875000000001,26360272.433415599,0
15,producer_bound_cached,0.026325375000000002,37986163.539930575,0
16,producer_bound_cached,0.027605375000000001,36224829.403694026,0
16,producer_bound_uncached,0.037416416000000001,26726236.954389218,0
17,producer_bound_cached,0.028510207999999999,35075156.238775954,0
17,producer_bound_uncached,0.038648457999999997,25874253.508380596,0
18,producer_bound_uncached,0.038346959,26077687.151150629,0
18,producer_bound_cached,0.026535166999999998,37685837.816660434,0
19,producer_bound_cached,0.027020083,37009508.816090606,0
19,producer_bound_uncached,0.038414917,26031554.35686611,0
