# experiment: b1
# git_commit: 30f619d592e2e2648dd0770953543821a6801d51
# git_dirty: no
# utc: 20260905_125453
# dataset: captures/btcusdt_futures_bookTicker_20260820_130813.bin
# symbol: BTCUSDT
# dataset_records: 13749492
# slice_length: 2000000
# capacity: 16384
# consumer: book
# passes: 1
# qos_class: user_interactive
# page_size: 16384 (apis_agree: yes)
# warm_seconds: 1.91267
# lap1_ms: 1.92321
# lap2_ms: 1.91637
# lap_ratio: 1.00357  (~1.2 is the floor, not a failure — §6.4a)
# spin_count: 1000 (derived, §4)
#
# Latency is intended-send to consumer-dequeue. A datapoint is
# valid only if dropped_records == 0 and p99 producer lag is
# within one offered-rate period. Invalid rows are written
# rather than deleted, with the gate that failed recorded.
pass,arm,rate_hz,pushed,delivered,dropped_records,full_rejections,book_updates,p50_lag_ns,p99_lag_ns,max_lag_ns,p50_ns,p90_ns,p99_ns,p999_ns,p9999_ns,max_ns,drop_gate,lag_gate,valid
0,spsc,100000,2000000,2000000,0,0,2000000,0,60333,24864083,83,292,124208,8777917,22884333,24864417,pass,FAIL,no
0,mutex,100000,2000000,2000000,0,0,2000000,0,33833,14827333,6417,7208,179417,5734750,13744708,15730333,pass,FAIL,no
0,spsc,250000,2000000,2000000,0,0,2000000,0,2500,14629958,83,125,12458,11190541,15028250,15815875,pass,pass,yes
0,mutex,250000,2000000,2000000,0,0,2000000,0,1000,211042,2625,6333,10750,33458,142500,436917,pass,pass,yes
0,spsc,500000,2000000,2000000,0,0,2000000,0,42,42834,84,125,125,8292,26167,45375,pass,pass,yes
0,mutex,500000,2000000,2000000,0,0,2000000,0,2750,57292,2000,5083,9750,21333,93458,331458,pass,FAIL,no
0,spsc,1e+06,2000000,2000000,0,0,2000000,0,42,231250,84,125,459,28667,534250,730000,pass,pass,yes
0,mutex,1e+06,2000000,2000000,0,0,2000000,0,3709,46459,1125,3334,10584,26834,44250,55875,pass,FAIL,no
0,spsc,2.5e+06,2000000,2000000,0,0,2000000,16,75,40191,91,116,116,19075,34533,43475,pass,pass,yes
0,mutex,2.5e+06,2000000,2000000,0,0,2000000,16,2958,52708,183,200,9116,23008,42266,62275,pass,FAIL,no
0,spsc,5e+06,2000000,2000000,0,0,2000000,17,75,18575,92,117,117,20575,36942,48950,pass,pass,yes
0,mutex,5e+06,2000000,2000000,0,0,2000000,816,5316,42416,3966,6908,14550,28575,46408,59666,pass,FAIL,no
0,spsc,1e+07,2000000,2000000,0,0,2000000,16,58,26191,91,116,125,17225,25708,32158,pass,pass,yes
0,mutex,1e+07,2000000,2000000,0,0,2000000,5008,155742,221575,12367,68358,197167,266217,304700,318542,pass,FAIL,no
0,spsc,2e+07,2000000,2000000,0,0,2000000,17,509,32317,92,117,2859,23709,31392,35492,pass,FAIL,no
0,mutex,2e+07,2000000,2000000,0,0,2000000,40981950,82851209,83850259,41011392,74543234,82886642,83806109,83848859,83857609,pass,FAIL,no
